Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;V-Mag;NGC;IC;Common names
IC0001;**;00:08:27.05;+27:43:03.6;Peg;;;;;;;
IC0002;G;00:11:00.88;-12:49:22.3;Cet;0.98;0.32;142;;;;
IC0003;G;00:12:06.09;-00:24:54.8;Psc;0.93;0.67;53;;;;
IC0004;G;00:13:26.94;+17:29:11.2;Peg;1.17;0.84;12;;;;
IC0005;G;00:17:34.93;-09:32:36.1;Cet;0.99;0.66;9;;;;
IC0006;G;00:18:55.04;-03:16:33.9;Psc;1.23;1.08;146;;;;
IC0007;G;00:18:53.16;+10:35:40.9;Psc;0.90;0.63;174;;;;
IC0008;G;00:19:02.72;-03:13:19.5;Psc;0.82;0.34;129;;;;
IC0009;G;00:19:43.98;-14:07:18.8;Cet;0.59;0.46;122;;;;
IC0010;G;00:20:17.34;+59:18:13.6;Cas;6.76;6.03;129;9.50;;;
IC0011;Dup;00:52:59.35;+56:37:18.8;Cas;;;;;281;;
IC0012;G;00:20:15.05;-02:39:11.2;Psc;0.96;0.32;20;;;;
IC0013;G;00:20:20.09;+07:42:01.8;Psc;1.29;0.53;162;;;;
IC0014;**;00:22:31.29;+10:29:24.9;Psc;;;;;;;
IC0015;G;00:27:57.59;-00:03:40.6;Cet;0.44;0.38;91;;;;
IC0016;G;00:28:07.65;-13:05:38.1;Cet;0.58;0.32;62;;;;
IC0017;G;00:28:29.78;+02:38:55.0;Psc;0.67;0.54;102;;;;
IC0018;G;00:28:34.96;-11:35:12.1;Cet;1.08;0.41;29;;;;
IC0019;G;00:28:39.48;-11:38:26.8;Cet;0.79;0.67;30;;;;
IC0020;G;00:28:39.68;-13:00:37.1;Cet;0.91;0.77;18;;;;
IC0021;G;00:29:10.43;-00:09:49.6;Cet;0.49;0.45;6;;;;
IC0022;G;00:29:33.17;-09:04:50.7;Cet;0.81;0.44;45;;;;
IC0023;G;00:30:50.80;-12:43:12.9;Cet;0.85;0.77;20;;;;
IC0024;**;00:31:16.63;+30:50:21.5;And;;;;;;;
IC0025;G;00:31:12.09;-00:24:26.5;Cet;0.86;0.44;34;;;;
IC0026;Dup;00:31:45.94;-13:20:14.9;Cet;;;;;135;;
IC0027;G;00:33:06.24;-13:22:17.4;Cet;0.58;0.34;148;;;;
IC0028;G;00:33:08.72;-13:27:22.6;Cet;0.30;0.22;85;;;;
IC0029;G;00:34:10.80;-02:10:39.5;Cet;0.66;0.49;160;;;;
IC0030;G;00:34:14.72;-02:05:04.5;Cet;0.69;0.39;23;;;;
IC0031;G;00:34:24.63;+12:16:05.4;Psc;1.16;0.23;90;;;;
IC0032;G;00:35:01.69;-02:08:30.1;Cet;0.62;0.39;1;;;;
IC0033;G;00:35:05.16;-02:08:15.7;Cet;0.78;0.58;123;;;;
IC0034;G;00:35:36.42;+09:07:27.3;Psc;2.81;1.05;156;;;;
IC0035;G;00:37:39.88;+10:21:28.7;Psc;0.90;0.74;18;;;;
IC0036;G;00:37:49.65;-15:26:28.6;Cet;0.31;0.30;60;;;;
IC0037;G;00:38:34.18;-15:21:31.3;Cet;0.67;0.38;158;;;;
IC0038;G;00:38:38.76;-15:25:11.4;Cet;0.77;0.57;65;;;;
IC0039;Dup;00:39:08.40;-14:10:22.2;Cet;;;;;178;;
IC0040;G;00:39:21.40;+02:27:22.4;Cet;1.05;0.43;14;;;;
IC0041;G;00:39:40.37;-14:10:27.6;Cet;0.71;0.45;162;;;;
IC0042;G;00:41:05.84;-15:25:41.1;Cet;0.76;0.53;56;;;;
IC0043;G;00:42:22.06;+29:38:29.9;And;1.26;1.15;87;;;;
IC0044;Dup;00:42:15.88;+00:50:43.8;Cet;;;;;223;;
IC0045;Other;00:42:36.34;+29:39:18.9;And;;;;;;;
IC0046;G;00:42:57.97;+27:15:12.5;And;0.80;0.61;82;;;;
IC0047;G;00:42:55.01;-13:44:26.6;Cet;0.41;0.24;100;;;;
