Messier;NGC;ObjectType;Season;Magnitude;Constellation;RA;December;DistanceLY;ApparentSizeArcSec;Discoverer;DiscoveryYear;ConstellationAbbr;Description
M85;NGC 4382;Galaxy;Spring;9;Coma Berenices;12:25:24.11;+18:11:29.4;41000000;7,1 x 5,2;Méchain;1781;Com;
M63;NGC 5055;Galaxy;Spring;8;Canes Venatici;13:15:49.33;+42:01:45.4;23800000;12,0 x 7,6;Méchain;1779;CVn;
M76;NGC 650;Planetary Nebula;Autumn;10;Perseus;01:42:19.69;+51:34:31.7;8200;65;Méchain;1780;Per;
M80;NGC 6093;Globular Cluster;Summer;7;Scorpius;16:17:02.51;-22:58:30.4;36000;5,1;Messier;1781;Sco;
M93;NGC 2447;Open Cluster;Winter;6;Puppis;07:44:29.23;-23:51:11.1;3600;22,0;Messier;1781;Pup;
M74;NGC 628;Galaxy;Autumn;9;Pisces;01:36:41.75;+15:47:01.2;26000000;10,0 x 9,6;Méchain;1780;Psc;
M89;NGC 4552;Galaxy;Spring;9;Virgo;12:35:39.81;+12:33:22.8;41000000;4,2 x 4,2;Messier;1781;Vir;
M37;NGC 2099;Open Cluster;Winter;5;Auriga;05:52:18.35;+32:33:10.8;3600;24,0;Hodierna;1654;Aur;
M36;NGC 1960;Open Cluster;Winter;6;Auriga;05:36:17.74;+34:08:26.7;3700;12,0;Hodierna;1654;Aur;
M48;NGC 2548;Open Cluster;Winter;5;Hydra;08:13:43.18;-05:45:01.6;1500;42;Messier;1771;Hya;
M31;NGC 224;Galaxy;Autumn;3;Andromeda;00:42:44.35;+41:16:08.6;2500000;180,0 x 63,0;;;And;
M104;NGC 4594;Galaxy;Spring;8;Corvus;12:39:59.43;-11:37:23.0;40000000;8,9 x 4,1;Méchain;1781;Crv;
M105;NGC 3379;Galaxy;Spring;9;Leo;10:47:49.59;+12:34:53.8;21500000;4,5 x 4,0;Méchain;1781;Leo;
M96;NGC 3368;Galaxy;Spring;9;Leo;10:46:45.74;+11:49:11.8;29300000;7,1 x 5,1;Méchain;1781;Leo;
M16;NGC 6611;Emission Nebula;Summer;6;;18:18:48.17;-13:48:26.0;5870;25,0;Chéseaux;1746;Se2;
M4;NGC 6121;Globular Cluster;Summer;5;Scorpius;16:23:35.40;-26:31:31.9;9900;22,8;Chéseaux;1746;Sco;
M15;NGC 7078;Globular Cluster;Autumn;6;Pegasus;21:29:58.38;+12:10:00.6;49500;12,3;Maraldi;1746;Peg;
M18;NGC 6613;Open Cluster;Summer;6;Sagittarius;18:19:58.49;-17:06:07.1;4900;9,0;Messier;1764;Sgr;
M21;NGC 6531;Open Cluster;Summer;5;Sagittarius;18:04:13.45;-22:29:24.2;4200;13,0;Messier;1764;Sgr;
M35;NGC 2168;Open Cluster;Winter;5;Gemini;06:09:05.06;+24:20:19.1;2800;30,0;Chéseaux;1746;Gem;
M51;NGC 5194;Galaxy;Spring;8;Canes Venatici;13:29:52.71;+47:11:42.6;37000000;11,0 x 7,8;Messier;1773;CVn;
M73;NGC 6994;Open Cluster;Autumn;9;Aquarius;20:58:55.97;-12:38:07.8;;2,8;Messier;1780;Aqr;
M77;NGC 1068;Galaxy;Autumn;8;Cetus;02:42:40.71;-00:00:47.8;52000000;6,9 x 5,9;Méchain;1780;Cet;
